slice_feature,slice_value,rows,projects,event_rate,roc_auc,precision_at_40,recall_at_40,false_positives,false_negatives,error_rate,sample_status
agency,N22000501,3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,N24001551,1,1,1.000000,,1.000000,1.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,N24001786,2,1,1.000000,,1.000000,1.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,NER,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,NHAI,73,26,0.671233,0.844388,0.911765,0.632653,3,18,0.287671,ADEQUATE
agency,NHIDCL,649,174,0.543914,0.767423,0.752632,0.405099,47,210,0.395994,ADEQUATE
agency,NICDC,2,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,NIT Mizoram,6,1,0.000000,,0.000000,0.000000,1,0,0.166667,INSUFFICIENT_SAMPLE
agency,NIT Nagaland,6,1,0.000000,,0.000000,0.000000,3,0,0.500000,INSUFFICIENT_SAMPLE
agency,NIT Patna,6,1,0.000000,,0.000000,0.000000,5,0,0.833333,INSUFFICIENT_SAMPLE
agency,NIT Rourkela,3,1,0.333333,0.000000,0.000000,0.000000,0,1,0.333333,INSUFFICIENT_SAMPLE
agency,NIT Sikkim,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,NLC India Limited [NLCIL],47,12,0.148936,0.635714,0.000000,0.000000,9,7,0.340426,INSUFFICIENT_SAMPLE
agency,NRL,12,2,0.750000,0.592593,0.000000,0.000000,0,9,0.750000,INSUFFICIENT_SAMPLE
agency,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",9,2,0.000000,,0.000000,0.000000,5,0,0.555556,INSUFFICIENT_SAMPLE
agency,National Aluminium Company Limited [NALCO],24,4,0.208333,0.694737,0.000000,0.000000,3,5,0.333333,INSUFFICIENT_SAMPLE
agency,National Buildings Construction Corporation [NBCC],1,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,National Communication Academy - Finance [Erstwhile NICF],3,1,0.333333,0.500000,0.000000,0.000000,1,1,0.666667,INSUFFICIENT_SAMPLE
agency,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],10,2,0.300000,0.571429,0.000000,0.000000,0,3,0.300000,INSUFFICIENT_SAMPLE
agency,National Highways Authority of India [NHAI],2074,555,0.766152,0.788381,0.924063,0.589679,77,652,0.351495,ADEQUATE
agency,National Hydroelectric Power Corporation Limited (NHPC,4,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,National Hydroelectric Power Corporation Limited [NHPC],37,8,0.135135,0.825000,0.500000,0.200000,1,4,0.135135,INSUFFICIENT_SAMPLE
agency,National Industrial Corridor Development Corporation,9,4,0.111111,0.625000,0.000000,0.000000,0,1,0.111111,INSUFFICIENT_SAMPLE
agency,National Institute of Technology Delhi,6,1,0.000000,,0.000000,0.000000,5,0,0.833333,INSUFFICIENT_SAMPLE
agency,National Institute of Technology Uttarakhand,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,"National Institute of Technology, Arunachal Pradesh",3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,"National Institute of Technology, Meghalaya",3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,"National Institute of Technology, Puducherry",6,1,0.333333,0.750000,0.500000,1.000000,2,0,0.333333,INSUFFICIENT_SAMPLE
agency,National Mineral Development Corporation Limited [NMDC],22,4,0.272727,1.000000,1.000000,0.666667,0,2,0.090909,INSUFFICIENT_SAMPLE
agency,National Mission for Clean Ganga,48,8,0.312500,0.755556,0.000000,0.000000,0,15,0.312500,INSUFFICIENT_SAMPLE
agency,National Thermal Power Corporation [NTPC],43,11,0.604651,0.253394,0.000000,0.000000,0,26,0.604651,INSUFFICIENT_SAMPLE
agency,New Mangalore Port Authority,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,North Central Railway,48,9,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,North Central Railway (NCR,3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,North Central Railway [NCR] - II,3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,North Eastern Electric Power Corporation Limited,13,3,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,North Eastern Railway (NER,2,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,North Eastern Railway [NER],27,5,0.222222,0.944444,0.000000,0.000000,0,6,0.222222,INSUFFICIENT_SAMPLE
agency,North Western Railway [NWR],78,16,0.102564,0.226786,1.000000,0.125000,0,7,0.089744,INSUFFICIENT_SAMPLE
agency,Northeast Frontier Railway (NFR,5,2,0.800000,1.000000,0.000000,0.000000,0,4,0.800000,INSUFFICIENT_SAMPLE
agency,Northeast Frontier Railway [NFR],32,7,0.031250,0.838710,0.000000,0.000000,0,1,0.031250,INSUFFICIENT_SAMPLE
agency,Northeast Frontier Railway [NFR] - II,6,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Northen Railway [NR],7,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Northern Coalfields Limited [NCL],28,5,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
