report_month,state,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-12,Sikkim,14.0,32535.04,41518.89,30259.5,State-Wise-Report.csv,aggregate_csv
2025-12,Manipur,28.0,39986.65,49216.27,34905.07,State-Wise-Report.csv,aggregate_csv
2025-12,Andaman & Nicobar,1.0,209.88,209.88,0.0,State-Wise-Report.csv,aggregate_csv
2025-12,Punjab,39.0,70472.29,75152.44,127749.5,State-Wise-Report.csv,aggregate_csv
2025-12,Maharashtra,162.0,493558.1,611218.67,396863.94,State-Wise-Report.csv,aggregate_csv
2025-12,Uttar Pradesh,120.0,299855.03,376439.84,261553.31,State-Wise-Report.csv,aggregate_csv
2025-12,Andhra Pradesh,102.0,176614.11,230870.67,121981.56,State-Wise-Report.csv,aggregate_csv
2025-12,Bihar,97.0,182856.83,191794.13,141041.82,State-Wise-Report.csv,aggregate_csv
2025-12,Gujarat,97.0,378256.01,476486.48,359662.36,State-Wise-Report.csv,aggregate_csv
2025-12,Jharkhand,85.0,193068.88,204030.85,84908.77,State-Wise-Report.csv,aggregate_csv
2025-12,Odisha,85.0,190500.45,202191.92,102761.29,State-Wise-Report.csv,aggregate_csv
2025-12,Jammu & Kashmir,33.0,50659.06,56480.41,26040.18,State-Wise-Report.csv,aggregate_csv
2025-12,West Bengal,72.0,142002.58,156778.23,73922.88,State-Wise-Report.csv,aggregate_csv
2025-12,Karnataka,70.0,140095.19,155173.84,87702.86,State-Wise-Report.csv,aggregate_csv
2025-12,Rajasthan,69.0,217412.95,328492.6,246815.92,State-Wise-Report.csv,aggregate_csv
2025-12,Assam,66.0,98017.38,133012.19,85302.0,State-Wise-Report.csv,aggregate_csv
2025-12,Telangana,64.0,63351.33,81524.5,41032.32,State-Wise-Report.csv,aggregate_csv
2025-12,Chhattisgarh,62.0,131321.36,140402.73,57869.78,State-Wise-Report.csv,aggregate_csv
2025-12,Tamil Nadu,45.0,151965.55,163654.12,58247.9,State-Wise-Report.csv,aggregate_csv
2025-12,Madhya Pradesh,77.0,204021.97,218560.02,92265.52,State-Wise-Report.csv,aggregate_csv
2026-01,Manipur,34.0,41847.27,51076.89,36106.77,State-Wise-Report.csv,aggregate_csv
2026-01,Uttarakhand,29.0,65408.12,79638.26,54479.07,State-Wise-Report.csv,aggregate_csv
2026-01,Kerala,29.0,61451.3,71147.72,24529.68,State-Wise-Report.csv,aggregate_csv
2026-01,Himachal Pradesh,27.0,37962.0,46932.99,107827.02,State-Wise-Report.csv,aggregate_csv
2026-01,Mizoram,25.0,29497.41,31230.64,14685.3,State-Wise-Report.csv,aggregate_csv
2026-01,Nagaland,25.0,29857.31,32000.03,19141.39,State-Wise-Report.csv,aggregate_csv
2026-01,Delhi,22.0,149255.97,152295.07,76581.9,State-Wise-Report.csv,aggregate_csv
2026-01,Tripura,14.0,21779.92,23315.3,12963.85,State-Wise-Report.csv,aggregate_csv
2026-01,Meghalaya,15.0,21497.25,22932.59,13205.77,State-Wise-Report.csv,aggregate_csv
2026-01,Sikkim,15.0,32785.04,42154.1,31399.16,State-Wise-Report.csv,aggregate_csv
2026-01,Puducherry,5.0,7000.63,7414.19,2653.61,State-Wise-Report.csv,aggregate_csv
2026-01,Goa,5.0,6928.4,7229.21,6693.68,State-Wise-Report.csv,aggregate_csv
